strength,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_ref,lpips_vs_prev,image_path
0.75,p02,123,23.522,0.341944,0.305664,1.592846,0.114542,0.144741,reports/experiments/exp5_sdxl/images/strength_0.75/p02_seed123.png
0.75,p02,456,23.504,0.346094,0.314453,1.644306,0.109715,0.142102,reports/experiments/exp5_sdxl/images/strength_0.75/p02_seed456.png
0.75,p02,789,23.35,0.355046,0.311523,1.491849,0.157697,0.148323,reports/experiments/exp5_sdxl/images/strength_0.75/p02_seed789.png
0.75,p02,1337,23.464,0.347523,0.30957,1.634078,0.107038,0.173656,reports/experiments/exp5_sdxl/images/strength_0.75/p02_seed1337.png
0.75,p03,42,23.528,0.289886,0.318359,1.454417,0.032534,0.053923,reports/experiments/exp5_sdxl/images/strength_0.75/p03_seed42.png
0.75,p03,123,23.535,0.299041,0.276855,1.258834,0.102013,0.332263,reports/experiments/exp5_sdxl/images/strength_0.75/p03_seed123.png
0.75,p03,456,23.559,0.298008,0.294678,1.245183,0.12102,0.293673,reports/experiments/exp5_sdxl/images/strength_0.75/p03_seed456.png
0.75,p03,789,23.345,0.299639,0.278564,1.43218,0.081152,0.286997,reports/experiments/exp5_sdxl/images/strength_0.75/p03_seed789.png
0.75,p03,1337,23.469,0.294104,0.283936,1.178778,0.102047,0.265888,reports/experiments/exp5_sdxl/images/strength_0.75/p03_seed1337.png
0.75,p04,42,23.547,0.3188,0.233276,-2.118353,0.017434,0.036756,reports/experiments/exp5_sdxl/images/strength_0.75/p04_seed42.png
0.75,p04,123,23.555,0.316466,0.223755,-2.08138,0.11075,0.242997,reports/experiments/exp5_sdxl/images/strength_0.75/p04_seed123.png
0.75,p04,456,23.52,0.315607,0.214111,-2.095356,0.126115,0.2927,reports/experiments/exp5_sdxl/images/strength_0.75/p04_seed456.png
0.75,p04,789,23.35,0.340771,0.23999,-0.75685,0.111995,0.269124,reports/experiments/exp5_sdxl/images/strength_0.75/p04_seed789.png
0.75,p04,1337,23.488,0.314428,0.220825,-2.059599,0.066024,0.22045,reports/experiments/exp5_sdxl/images/strength_0.75/p04_seed1337.png
0.75,p05,42,23.496,0.393051,0.303223,0.184863,0.028515,0.025442,reports/experiments/exp5_sdxl/images/strength_0.75/p05_seed42.png
0.75,p05,123,23.439,0.388043,0.302246,0.48344,0.148906,0.21961,reports/experiments/exp5_sdxl/images/strength_0.75/p05_seed123.png
0.75,p05,456,23.549,0.370986,0.325439,-0.666437,0.080801,0.287937,reports/experiments/exp5_sdxl/images/strength_0.75/p05_seed456.png
0.75,p05,789,23.277,0.377682,0.313721,0.210527,0.111263,0.254469,reports/experiments/exp5_sdxl/images/strength_0.75/p05_seed789.png
0.75,p05,1337,23.432,0.366761,0.302246,-0.144144,0.09015,0.191752,reports/experiments/exp5_sdxl/images/strength_0.75/p05_seed1337.png
0.75,p06,42,23.439,0.298003,0.273193,0.485544,0.064307,0.077849,reports/experiments/exp5_sdxl/images/strength_0.75/p06_seed42.png
0.75,p06,123,23.386,0.305608,0.274658,0.501553,0.320027,0.24958,reports/experiments/exp5_sdxl/images/strength_0.75/p06_seed123.png
0.75,p06,456,23.58,0.298965,0.282471,0.737044,0.323072,0.223101,reports/experiments/exp5_sdxl/images/strength_0.75/p06_seed456.png
0.75,p06,789,23.384,0.291185,0.283936,0.4464,0.215342,0.230062,reports/experiments/exp5_sdxl/images/strength_0.75/p06_seed789.png
0.75,p06,1337,23.364,0.301126,0.274658,0.607889,0.185575,0.13116,reports/experiments/exp5_sdxl/images/strength_0.75/p06_seed1337.png
0.75,p07,42,23.024,0.272911,0.282471,-1.079278,0.056034,0.093146,reports/experiments/exp5_sdxl/images/strength_0.75/p07_seed42.png
0.75,p07,123,23.068,0.268762,0.287842,-0.228567,0.13225,0.158772,reports/experiments/exp5_sdxl/images/strength_0.75/p07_seed123.png
0.75,p07,456,23.09,0.269418,0.290283,-0.004706,0.127759,0.22143,reports/experiments/exp5_sdxl/images/strength_0.75/p07_seed456.png
0.75,p07,789,23.541,0.274963,0.275879,-0.199091,0.144289,0.179702,reports/experiments/exp5_sdxl/images/strength_0.75/p07_seed789.png
0.75,p07,1337,23.132,0.271719,0.281982,0.544982,0.139725,0.183493,reports/experiments/exp5_sdxl/images/strength_0.75/p07_seed1337.png
0.75,p08,42,23.303,0.288902,0.315918,-1.240416,0.048684,0.069568,reports/experiments/exp5_sdxl/images/strength_0.75/p08_seed42.png
0.75,p08,123,23.327,0.28611,0.299316,-1.376377,0.14043,0.195483,reports/experiments/exp5_sdxl/images/strength_0.75/p08_seed123.png
0.75,p08,456,23.537,0.290534,0.305176,-1.410273,0.109384,0.169267,reports/experiments/exp5_sdxl/images/strength_0.75/p08_seed456.png
0.75,p08,789,23.449,0.29056,0.309326,-1.278698,0.126982,0.177045,reports/experiments/exp5_sdxl/images/strength_0.75/p08_seed789.png
