cfg_value,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_ref,lpips_vs_prev,image_path
3,p01_portrait,42,16.548,0.343976,0.326904,1.614672,0.344273,0.41112,reports/experiments/exp3_sdxl/images/cfg_3/p01_portrait_seed42.png
3,p01_portrait,123,16.244,0.366664,0.307617,0.85783,0.43406,0.482199,reports/experiments/exp3_sdxl/images/cfg_3/p01_portrait_seed123.png
3,p01_portrait,456,16.549,0.363346,0.310791,1.411126,0.287083,0.335795,reports/experiments/exp3_sdxl/images/cfg_3/p01_portrait_seed456.png
3,p01_portrait,789,16.492,0.363011,0.306641,1.244604,0.288156,0.386154,reports/experiments/exp3_sdxl/images/cfg_3/p01_portrait_seed789.png
3,p01_portrait,1337,16.518,0.374201,0.326172,1.377721,0.400671,0.312423,reports/experiments/exp3_sdxl/images/cfg_3/p01_portrait_seed1337.png
3,p02_landscape,42,16.316,0.33715,0.259033,1.028841,0.173689,0.227841,reports/experiments/exp3_sdxl/images/cfg_3/p02_landscape_seed42.png
3,p02_landscape,123,16.66,0.341239,0.285156,0.959624,0.31766,0.538583,reports/experiments/exp3_sdxl/images/cfg_3/p02_landscape_seed123.png
3,p02_landscape,456,16.372,0.321551,0.240845,0.822912,0.210931,0.243327,reports/experiments/exp3_sdxl/images/cfg_3/p02_landscape_seed456.png
3,p02_landscape,789,16.556,0.33693,0.25415,0.75889,0.330948,0.427536,reports/experiments/exp3_sdxl/images/cfg_3/p02_landscape_seed789.png
3,p02_landscape,1337,16.537,0.334294,0.25,1.072732,0.24652,0.474218,reports/experiments/exp3_sdxl/images/cfg_3/p02_landscape_seed1337.png
3,p03_abstract,42,16.579,0.308912,0.21167,0.031029,0.470578,0.425345,reports/experiments/exp3_sdxl/images/cfg_3/p03_abstract_seed42.png
3,p03_abstract,123,16.354,0.29521,0.220337,-0.689967,0.398046,0.353207,reports/experiments/exp3_sdxl/images/cfg_3/p03_abstract_seed123.png
3,p03_abstract,456,16.598,0.314806,0.211792,0.360045,0.415848,0.561253,reports/experiments/exp3_sdxl/images/cfg_3/p03_abstract_seed456.png
3,p03_abstract,789,16.588,0.306041,0.213501,-0.143829,0.467533,0.513775,reports/experiments/exp3_sdxl/images/cfg_3/p03_abstract_seed789.png
3,p03_abstract,1337,16.485,0.324514,0.233276,0.096114,0.495366,0.51073,reports/experiments/exp3_sdxl/images/cfg_3/p03_abstract_seed1337.png
3,p04_text,42,16.512,0.294242,0.252441,0.322122,0.420536,0.455078,reports/experiments/exp3_sdxl/images/cfg_3/p04_text_seed42.png
3,p04_text,123,16.215,0.240965,0.22998,0.485973,0.471318,0.474307,reports/experiments/exp3_sdxl/images/cfg_3/p04_text_seed123.png
