strength,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
0.75,pp_003,42,6.106,0.297282,0.221837,0.364985,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_003_seed42.png
0.75,pp_003,123,6.436,0.26222,0.2202,0.399997,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_003_seed123.png
0.75,pp_003,456,6.334,0.294845,0.218773,0.432501,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_003_seed456.png
0.75,pp_003,789,6.11,0.249488,0.306549,0.445874,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_003_seed789.png
0.75,pp_003,1337,6.071,0.261214,0.258658,0.346183,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_003_seed1337.png
0.75,pp_004,42,6.155,0.357901,0.324369,0.420379,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_004_seed42.png
0.75,pp_004,123,6.182,0.368522,0.246129,0.179945,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_004_seed123.png
0.75,pp_004,456,6.054,0.383909,0.328939,0.446011,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_004_seed456.png
0.75,pp_004,789,6.101,0.356727,0.310845,0.379805,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_004_seed789.png
0.75,pp_004,1337,6.033,0.354139,0.416945,0.609666,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_004_seed1337.png
0.75,pp_005,42,6.035,0.395712,0.202483,0.577051,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_005_seed42.png
0.75,pp_005,123,6.171,0.369567,0.138776,0.276749,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_005_seed123.png
0.75,pp_005,456,6.242,0.352418,0.219615,0.449043,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_005_seed456.png
0.75,pp_005,789,6.095,0.355011,0.215623,0.430778,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_005_seed789.png
0.75,pp_005,1337,6.17,0.38614,0.228036,0.645673,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_005_seed1337.png
0.75,pp_006,42,7.163,0.29131,0.159705,0.464491,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_006_seed42.png
0.75,pp_006,123,5.942,0.299192,0.243308,0.205821,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_006_seed123.png
0.75,pp_006,456,6.689,0.301138,0.386958,0.491215,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_006_seed456.png
0.75,pp_006,789,7.666,0.301747,0.205021,0.553997,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_006_seed789.png
0.75,pp_006,1337,6.218,0.313232,0.20849,0.3561,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_006_seed1337.png
0.75,pp_007,42,6.212,0.317602,0.387842,0.415789,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_007_seed42.png
0.75,pp_007,123,6.084,0.293019,0.28863,0.540869,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_007_seed123.png
0.75,pp_007,456,6.185,0.283405,0.307269,0.342815,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_007_seed456.png
0.75,pp_007,789,6.438,0.296223,0.330025,0.536545,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_007_seed789.png
0.75,pp_007,1337,6.082,0.293311,0.379843,0.600091,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_007_seed1337.png
0.75,pp_008,42,6.112,0.315302,0.419362,0.530816,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_008_seed42.png
0.75,pp_008,123,6.342,0.25215,0.27219,0.515502,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_008_seed123.png
0.75,pp_008,456,6.289,0.282941,0.237588,0.35122,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_008_seed456.png
0.75,pp_008,789,6.475,0.308804,0.502408,0.45812,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_008_seed789.png
0.75,pp_008,1337,6.27,0.271823,0.239335,0.606353,reports/experiments/exp5_controlnet_strength/images/strength_0.75/pp_008_seed1337.png
1.0,pp_001,42,6.498,0.222836,0.0,0.371462,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_001_seed42.png
1.0,pp_001,123,6.587,0.226516,0.0,0.249286,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_001_seed123.png
1.0,pp_001,456,6.504,0.25464,0.0,0.414784,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_001_seed456.png
