cfg,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
5,p06_arch,456,5.241,0.296704,0.319508,0.223237,reports/experiments/exp3_cfg_sweep/images/cfg_5/p06_arch_seed456.png
5,p06_arch,789,5.225,0.322132,0.250534,0.213066,reports/experiments/exp3_cfg_sweep/images/cfg_5/p06_arch_seed789.png
5,p06_arch,1337,5.46,0.327516,0.336708,0.284198,reports/experiments/exp3_cfg_sweep/images/cfg_5/p06_arch_seed1337.png
5,p07_hands,42,5.631,0.277969,0.295159,0.381168,reports/experiments/exp3_cfg_sweep/images/cfg_5/p07_hands_seed42.png
5,p07_hands,123,5.481,0.273611,0.602933,0.604468,reports/experiments/exp3_cfg_sweep/images/cfg_5/p07_hands_seed123.png
5,p07_hands,456,5.646,0.26816,0.343051,0.41554,reports/experiments/exp3_cfg_sweep/images/cfg_5/p07_hands_seed456.png
5,p07_hands,789,5.082,0.338232,0.389827,0.346848,reports/experiments/exp3_cfg_sweep/images/cfg_5/p07_hands_seed789.png
5,p07_hands,1337,5.126,0.28326,0.126722,0.538674,reports/experiments/exp3_cfg_sweep/images/cfg_5/p07_hands_seed1337.png
5,p08_crowd,42,5.823,0.334827,0.332186,0.401457,reports/experiments/exp3_cfg_sweep/images/cfg_5/p08_crowd_seed42.png
5,p08_crowd,123,5.494,0.319834,0.343766,0.382586,reports/experiments/exp3_cfg_sweep/images/cfg_5/p08_crowd_seed123.png
5,p08_crowd,456,5.639,0.346604,0.288506,0.307384,reports/experiments/exp3_cfg_sweep/images/cfg_5/p08_crowd_seed456.png
5,p08_crowd,789,5.217,0.337283,0.214992,0.231293,reports/experiments/exp3_cfg_sweep/images/cfg_5/p08_crowd_seed789.png
5,p08_crowd,1337,5.407,0.340478,0.500477,0.396104,reports/experiments/exp3_cfg_sweep/images/cfg_5/p08_crowd_seed1337.png
7,p01_portrait,42,5.395,0.326111,0.0,0.267689,reports/experiments/exp3_cfg_sweep/images/cfg_7/p01_portrait_seed42.png
7,p01_portrait,123,5.053,0.316054,0.0,0.177688,reports/experiments/exp3_cfg_sweep/images/cfg_7/p01_portrait_seed123.png
